eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
200.0,-1283.32485302,0.8262120634317398,2634,14900,1.5425457954406738,894000,141.13790893554688
200.0,-1229.0717551700002,-0.7719180583953857,2633,15000,1.5428799390792847,900000,107652.1171875
200.0,-1203.3769546199999,0.3483434319496155,2633,15100,1.5426112413406372,906000,167.90699768066406
200.0,-1202.04657589,0.3736364245414734,2634,15200,1.542822241783142,912000,107900.0859375
200.0,-1200.3355482900001,0.7078969180583954,2634,15300,1.542297124862671,918000,164.88961791992188
200.0,-1209.7115466900002,-0.0499342679977417,2635,15400,1.5426112413406372,924000,110655.015625
200.0,-1221.65339036,0.6292204558849335,2637,15500,1.542169213294983,930000,119.93497467041016
200.0,-1240.7650277599998,0.15039563179016113,2637,15600,1.542296051979065,936000,116907.890625
200.0,-1227.3935059299997,0.7986835688352585,2638,15700,1.5425583124160767,942000,122.3443374633789
200.0,-1218.24401928,-0.03022933006286621,2639,15800,1.5424764156341553,948000,108892.140625
200.0,-1191.0066809100001,0.7009295225143433,2640,15900,1.5424294471740723,954000,157.19244384765625
200.0,-1193.5601810399999,-0.07777082920074463,2641,16000,1.5426175594329834,960000,114013.21875
200.0,-1165.49111446,0.6438164710998535,2641,16100,1.5429224967956543,966000,195.74661254882812
200.0,-1208.3321422599997,0.20709460973739624,2642,16200,1.5427513122558594,972000,115705.4609375
200.0,-1212.86332522,0.8101197928190231,2642,16300,1.5427333116531372,978000,144.98707580566406
200.0,-1242.89317803,0.16921961307525635,2642,16400,1.542673110961914,984000,110564.40625
200.0,-1254.2434513599999,0.8196525424718857,2643,16500,1.542561650276184,990000,122.29412078857422
200.0,-1229.3397700699998,-0.781876802444458,2643,16600,1.5426620244979858,996000,111281.125
